iter	RMSE
0	0.1547807665
1	0.1547370714
2	0.154701043
3	0.1546559065
4	0.1546199579
5	0.1545899419
6	0.1545653515
7	0.1545430915
8	0.154514478
9	0.1544968809
10	0.1544806059
11	0.1544599654
12	0.1544453456
13	0.1544307557
14	0.1544083262
15	0.1543956065
16	0.1543870045
17	0.154373873
18	0.1543593519
19	0.1543449031
20	0.1543371418
21	0.1543223388
22	0.1543101736
23	0.1542978969
24	0.1542870892
25	0.1542775706
26	0.1542629774
27	0.1542527584
28	0.1542433032
29	0.1542370411
30	0.1542227773
31	0.1542108698
32	0.1541859051
33	0.154175731
34	0.1541686905
35	0.1541615004
36	0.1541541355
37	0.1541450617
38	0.1541379059
39	0.1541224203
40	0.1541156854
41	0.1541128793
42	0.1541035647
43	0.1541004506
44	0.1540941609
45	0.1540864091
46	0.1540775151
47	0.1540720085
48	0.1540645711
49	0.1540543321
50	0.1540471284
51	0.1540411458
52	0.1540342751
53	0.1540282969
54	0.1540211777
55	0.1540145267
56	0.1540125464
57	0.154004546
58	0.1540003496
59	0.1539941976
60	0.1539891483
61	0.1539814161
62	0.1539775497
63	0.1539721022
64	0.153965227
65	0.1539582752
66	0.1539446873
67	0.1539393413
68	0.1539348972
69	0.1539291978
70	0.1539261994
71	0.1539233287
72	0.1539179495
73	0.1539146648
74	0.1539103732
75	0.1539094379
76	0.1539069455
77	0.1539012373
78	0.1538926412
79	0.1538901937
80	0.153875578
81	0.1538726632
82	0.1538677188
83	0.1538632768
84	0.1538582733
85	0.1538539854
86	0.1538513546
87	0.1538467695
88	0.1538440447
89	0.1538371121
90	0.1538294387
91	0.1538239756
92	0.1538189688
93	0.1538150906
94	0.1538103679
95	0.1538030031
96	0.1537992276
97	0.1537959305
98	0.1537913616
99	0.1537817629
