iter	Passed	Remaining
0	0	52
1	1	50
2	1	50
3	2	48
4	2	48
5	2	46
6	3	46
7	3	45
8	4	44
9	4	43
10	5	42
11	5	42
12	6	42
13	6	41
14	7	40
15	7	40
16	8	40
17	8	40
18	9	39
19	9	38
20	9	37
21	10	37
22	10	36
23	11	36
24	11	35
25	13	37
26	13	37
27	14	36
28	14	36
29	15	35
30	15	35
31	16	34
32	16	34
33	17	33
34	17	33
35	18	32
36	19	32
37	19	32
38	20	31
39	20	31
40	21	30
41	21	29
42	22	29
43	22	29
44	23	28
45	23	28
46	24	27
47	24	27
48	25	26
49	25	25
50	26	25
51	27	24
52	27	24
53	27	23
54	28	23
55	28	22
56	29	22
57	29	21
58	30	21
59	31	20
60	31	20
61	32	19
62	32	19
63	33	18
64	34	18
65	34	17
66	35	17
67	36	17
68	36	16
69	37	15
70	37	15
71	38	14
72	38	14
73	39	13
74	39	13
75	40	12
76	40	12
77	41	11
78	41	11
79	42	10
80	42	10
81	43	9
82	43	8
83	44	8
84	44	7
85	45	7
86	45	6
87	46	6
88	46	5
89	47	5
90	47	4
91	48	4
92	49	3
93	50	3
94	50	2
95	51	2
96	51	1
97	52	1
98	52	0
99	53	0
